relationship	relationship_name	relationship_group	opposite_relationship_group
AU 	Aunt	Aunt/Uncle	Nephew/Niece
AUN	Aunt	Aunt/Uncle	Nephew/Niece
CH 	Child	Child	Parent
CHI	Child	Child	Parent
FA 	Father	Parent	Child
FAT	Father	Parent	Child
GCH	Grandchild	Grandchild	Grandparent
GRP	Grandparent	Grandparent	Grandchild
KID	Child	Child	Parent
MO 	Mother	Parent	Child
MOT	Mother	Parent	Child
NN 	Nephew/Niece	Nephew/Niece	Aunt/Uncle
NNE	Nephew/Niece	Nephew/Niece	Aunt/Uncle
PA 	Parent	Parent	Child
PAR	Parent	Parent	Child
SI 	Sibling	Sibling	Sibling
SIB	Sibling	Sibling	Sibling
FNS	Father	Parent	Child
GRC	Mother	Parent	Child
Aunt	Aunt	Aunt/Uncle	Nephew/Niece
Uncle	Uncle	Aunt/Uncle	Nephew/Niece
Child	Child	Child	Parent
Father	Father	Parent	Child
Mother	Mother	Parent	Child
Grandchild	Grandchild	Grandchild	Grandparent
Grandparent	Grandparent	Grandparent	Grandchild
Nephew	Nephew/Niece	Nephew/Niece	Aunt/Uncle
Niece	Nephew/Niece	Nephew/Niece	Aunt/Uncle
Brother	Sibling	Sibling	Sibling
Sister	Sibling	Sibling	Sibling
Sibling	Sibling	Sibling	Sibling
Grandfather	Grandparent	Grandparent	Grandchild
Grandmother	Grandparent	Grandparent	Grandchild
Son	Child	Child	Parent
Daughter	Child	Child	Parent
SPO	Spouse	Spouse	Spouse
Spouse	Spouse	Spouse	Spouse
